[notepad.exe] 0x24acf , 0x24aeb [notepad.exe]
[notepad.exe] 0x24aeb , 0x24b0a [notepad.exe]
[notepad.exe] 0x24b0a , 0x24b2f [notepad.exe]
[notepad.exe] 0x242e6 , 0x242eb [notepad.exe]
[notepad.exe] 0x2465c , 0x2465f [notepad.exe]
[notepad.exe] 0x242eb , 0x242ef [notepad.exe]
[notepad.exe] 0x242f3 , 0x242f8 [notepad.exe]
[notepad.exe] 0x242f8 , 0x242fc [notepad.exe]
[notepad.exe] 0x24305 , 0x2430d [notepad.exe]
[notepad.exe] 0x23dd4 , 0x23ddc [notepad.exe]
[notepad.exe] 0x23ddc , 0x23de9 [notepad.exe]
[notepad.exe] 0x24284 , 0x2428d [notepad.exe]
[notepad.exe] 0x24b38 , 0x24b44 [notepad.exe]
[notepad.exe] 0x2428d , 0x24291 [notepad.exe]
[notepad.exe] 0x24291 , 0x242a0 [notepad.exe]
[notepad.exe] 0x242a5 , 0x242b2 [notepad.exe]
[notepad.exe] 0x242b2 , 0x242b9 [notepad.exe]
[notepad.exe] 0x23de9 , 0x23dfa [notepad.exe]
[notepad.exe] 0x23dfa , 0x23dfe [notepad.exe]
[notepad.exe] 0x23dfe , 0x23e1b [notepad.exe]
[notepad.exe] 0x24dc8 , 0x24dce [notepad.exe]
[ucrtbase.dll] 0x1e4a0 , 0x1e4b5 [ucrtbase.dll]
[ucrtbase.dll] 0x1e4b5 , 0x1e4bd [ucrtbase.dll]
[ucrtbase.dll] 0x1e4c7 , 0x1e4d0 [ucrtbase.dll]
[ucrtbase.dll] 0x1e4bd , 0x1e4c3 [ucrtbase.dll]
[notepad.exe] 0x23cd0 , 0x23ce0 [notepad.exe]
[notepad.exe] 0x24ec4 , 0x24eca [notepad.exe]
[ucrtbase.dll] 0x22bb0 , 0x22bb7 [ucrtbase.dll]
[ucrtbase.dll] 0x22bc0 , 0x22bcd [ucrtbase.dll]
[ucrtbase.dll] 0x15fe0 , 0x16018 [ucrtbase.dll]
[ucrtbase.dll] 0x16018 , 0x16021 [ucrtbase.dll]
[ucrtbase.dll] 0x16021 , 0x1602e [ucrtbase.dll]
[KERNELBASE.dll] 0x4b4f0 , 0x4b4fb [KERNELBASE.dll]
[ntdll.dll] 0x4cdf0 , 0x4ce24 [ntdll.dll]
[ntdll.dll] 0x4ce24 , 0x4ce36 [ntdll.dll]
[ntdll.dll] 0x4ce36 , 0x4ce51 [ntdll.dll]
[ntdll.dll] 0x4ce51 , 0x4ce73 [ntdll.dll]
[KERNELBASE.dll] 0x4b4fb , 0x4b508 [KERNELBASE.dll]
[KERNELBASE.dll] 0x4b508 , 0x4b512 [KERNELBASE.dll]
[ucrtbase.dll] 0x1602e , 0x1603e [ucrtbase.dll]
[ucrtbase.dll] 0x22bcd , 0x22bd5 [ucrtbase.dll]
[ucrtbase.dll] 0x231f0 , 0x231f7 [ucrtbase.dll]
[ucrtbase.dll] 0x22bd5 , 0x22bdb [ucrtbase.dll]
[ucrtbase.dll] 0x15f70 , 0x15fa8 [ucrtbase.dll]
[ucrtbase.dll] 0x15fa8 , 0x15fb1 [ucrtbase.dll]
[ucrtbase.dll] 0x15fb1 , 0x15fbb [ucrtbase.dll]
[ucrtbase.dll] 0x15fbb , 0x15fcb [ucrtbase.dll]
[ucrtbase.dll] 0x22bdb , 0x22be1 [ucrtbase.dll]
[notepad.exe] 0x23ce0 , 0x23ce5 [notepad.exe]
[notepad.exe] 0x2463c , 0x24642 [notepad.exe]
[notepad.exe] 0x23ce5 , 0x23cec [notepad.exe]
[notepad.exe] 0x24ed0 , 0x24ed6 [notepad.exe]
[ucrtbase.dll] 0x23600 , 0x2360e [ucrtbase.dll]
